,Unnamed: 0,Dpt,Année,Kilométrage compteur,Nombre de portes,Nombre de places,Garantie,Nombre de propriétaires,Puissance fiscale,Puissance din,Crit'Air,Émissions de CO2,Consommation mixte,Garantite,Marque voiture_CITROEN,Marque voiture_MERCEDES,Marque voiture_PEUGEOT,Marque voiture_RENAULT,Marque voiture_VOLKSWAGEN,Contrôle technique_non requis,Contrôle technique_requis,Énergie_Bicarburation essence GPL,Énergie_Bicarburation essence bioéthanol,Énergie_Diesel,Énergie_Essence,Énergie_Hybride diesel électrique,Énergie_Hybride essence électrique,Boîte de vitesse_automatique,Boîte de vitesse_mécanique,Garantie constructeur_Non,Garantie constructeur_en cours,Vérifié & Garanti_non,Vérifié & Garanti_oui,Première main (déclaratif)_non,Première main (déclaratif)_oui,Norme Euro_EURO2,Norme Euro_EURO3,Norme Euro_EURO4,Norme Euro_EURO5,Norme Euro_EURO6,Couleur principale_almongreen,Couleur principale_argent,Couleur principale_autre,Couleur principale_beige,Couleur principale_blanc,Couleur principale_blanche,Couleur principale_bleu,Couleur principale_blue,Couleur principale_bordeaux,Couleur principale_breathing,Couleur principale_brun,Couleur principale_candyweiß,Couleur principale_clair,Couleur principale_cosmic,Couleur principale_dark,Couleur principale_deep,Couleur principale_delfingrau,Couleur principale_ecru,Couleur principale_emeralcrystal,Couleur principale_evl,Couleur principale_gray,Couleur principale_gris,Couleur principale_grise,Couleur principale_inc,Couleur principale_inc.,Couleur principale_inconnue,Couleur principale_indiumgrau,Couleur principale_ink,"Couleur principale_iridiumsilver,",Couleur principale_ivoire,Couleur principale_jaune,Couleur principale_kca,Couleur principale_kosmosblack,Couleur principale_limestone,Couleur principale_marron,Couleur principale_misty,Couleur principale_mmnl,Couleur principale_mountaingrau,Couleur principale_na,Couleur principale_natural,Couleur principale_nightshablue,Couleur principale_noir,Couleur principale_noire,Couleur principale_non,Couleur principale_obsidian,Couleur principale_olive,Couleur principale_opaque,Couleur principale_or,Couleur principale_orange,Couleur principale_pacific,Couleur principale_platine,Couleur principale_platinum,Couleur principale_polar,Couleur principale_pure,Couleur principale_rauchgrau,Couleur principale_reef,Couleur principale_reflet,Couleur principale_reflexsilber,Couleur principale_rose,Couleur principale_rouge,Couleur principale_sable,Couleur principale_selenitgrey,Couleur principale_spicy,Couleur principale_spirit,Couleur principale_spring,Couleur principale_spéciale,Couleur principale_turquoise,Couleur principale_uranograu,Couleur principale_vert,Couleur principale_violet,Couleur principale_voltaic,Couleur principale_white,Couleur principale_zp
27,27,63,2022,46813,5,5,0,1.0,7,130,1,131,5.9,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,349,33,2019,134750,5,5,12,2.0,6,116,2,107,4.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,68,2022,103170,5,5,12,1.0,7,130,2,124,4.7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,1161,64,2023,12,5,5,0,1.0,6,110,2,116,4.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,1349,41,2019,98946,5,5,6,1.0,5,90,1,113,5.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,308,64,2023,5300,4,3,24,1.0,7,110,2,184,7.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,259,74,2020,30255,5,2,12,2.0,5,99,2,109,4.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,1013,33,2021,26164,5,5,12,1.0,5,95,2,124,4.7,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,737,68,2013,163900,3,4,12,1.0,9,160,1,153,6.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,422,91,2011,147517,3,5,6,1.0,7,120,2,136,5.9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
